index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,"4,7","6,8","9,3","12,1","15,7","21,2","23,3","27,6","32,9","37,9","43,7","42,4","49,5","55,8","52,0","49,3","48,9","49,1","50,9","53,1","56,4","62,1","62,7","1,0%","2,4%","3,0%"
,"0,5","0,5","0,6","0,7","0,9","0,9","1,0","1,4","2,0","2,5","3,5","6,1","7,2","9,8","11,2","16,3","15,5","17,6","16,6","19,8","27,5","27,1","32,6","20,3%","16,4%","1,5%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","4,2%","5,6%",♦
,^,"0,1",^,"0,1","0,1","0,1","0,1","0,4","0,8","1,5","2,9","4,7","5,9","7,6","8,5","11,7","15,5","17,9","19,9","21,7","24,8","31,4","35,1","11,8%","19,6%","1,7%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,3","0,6","1,1","1,1","1,0","1,0","1,2","2,0","3,3","3,9","1,5","--62,5%","17,6%","0,1%"
,"0,9","1,0","1,3","1,3","1,9","2,9","4,2","5,3","7,1","9,3","10,3","16,0","19,8","28,4","32,0","40,3","37,2","49,6","56,9","63,8","75,6","64,7","80,2","24,0%","15,0%","3,8%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,3","0,6","1,7","1,8","2,1","2,2","6,0%","68,3%","0,1%"
,"22,4","26,9","36,5","44,9","59,8","71,6","83,8","106,5","122,2","136,2","153,4","187,0","215,0","248,1","264,8","319,0","322,8","384,2","403,3","459,4","513,0","500,4","554,5","10,8%","9,9%","26,3%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","--8,9%",-,♦
,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,2",♦,"40,8%",♦
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,3","0,3","0,4","0,7","1,0","1,7","2,5","44,9%","98,5%","0,1%"
