index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,5","1,3","1,9","2,4","3,6","4,5","4,5","5,1","5,0","5,0","4,9","--2,2%","25,6%","0,4%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,"0,1","5,3","10,9","25,8","26,4","2,3%","131,8%","2,0%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,3","0,5","0,6","0,8","1,1","1,6","1,8","11,1%","34,1%","0,1%"
,"0,4","0,6","0,8","1,1","1,5","1,9","2,3","2,7","3,3","4,4","6,7","12,2","17,6","32,4","63,0","95,6","141,7","219,8","309,4","390,4","466,9","591,0","743,2","25,7%","45,4%","56,2%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,"1,1","1,4","1,8","2,3","3,0","4,2","5,8","7,8","12,7","21,1","33,9","65,6","101,5","138,6","197,3","256,0","328,4","445,5","575,8","705,2","854,4","1059,3","1322,6","24,9%","29,3%","100,0%"
,"1,0","1,4","1,7","2,1","2,8","4,0","5,5","7,5","12,3","20,5","32,6","61,0","92,3","120,6","159,1","195,0","229,4","278,5","325,3","376,4","449,8","544,6","658,3","20,9%","21,7%","49,8%"
,^,"0,1","0,1","0,1","0,1","0,2","0,2","0,3","0,4","0,6","1,3","4,7","9,3","18,0","38,2","60,9","99,0","167,0","250,4","328,8","404,5","514,7","664,3","29,1%","53,3%","50,2%"
,"0,1","0,2","0,3","0,4","0,7","1,5","2,5","3,8","7,5","14,2","23,3","46,7","70,2","83,4","92,8","99,7","100,0","106,7","113,4","124,1","144,4","163,1","207,2","27,1%","11,4%","15,7%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
